2.5664 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
11.9105 	EXP 	Created TestWordL = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.07, italic=False, languageStyle='LTR', name='TestWordL', opacity=1, ori=0.0, pos=array([-0.4,  0. ]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
11.9126 	EXP 	Created TestWordR = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.07, italic=False, languageStyle='LTR', name='TestWordR', opacity=1, ori=0.0, pos=array([0.4, 0. ]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
11.9179 	EXP 	Created TestHint = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='TestHint', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
11.9562 	EXP 	Created Instr4_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='Instr4_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
11.9581 	EXP 	Created Recogn_word = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='Recogn_word', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
11.9658 	EXP 	Created Recogn_hint = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='Recogn_hint', opacity=1, ori=0.0, pos=array([ 0. , -0.4]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
11.9743 	EXP 	Created Goodbye_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='Goodbye_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
12.0120 	WARNING 	t of last frame was 1023.01ms (=1/0)
12.0120 	EXP 	Instr1_text: autoDraw = True
12.9899 	DATA 	Keypress: space
13.0068 	WARNING 	t of last frame was 28.37ms (=1/35)
13.0068 	EXP 	Instr1_text: autoDraw = False
13.0068 	EXP 	Instr2_text: autoDraw = True
13.2443 	WARNING 	t of last frame was 19.88ms (=1/50)
13.2733 	WARNING 	t of last frame was 29.04ms (=1/34)
13.7329 	DATA 	Keypress: space
13.7403 	EXP 	Instr2_text: autoDraw = False
13.7403 	EXP 	ExQuestion: autoDraw = True
18.7229 	EXP 	ExWordL: autoDraw = True
18.7229 	EXP 	ExWordR: autoDraw = True
18.7433 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
18.7432 	EXP 	ExQuestion: autoDraw = False
20.7253 	EXP 	ExWordL: autoDraw = False
20.7253 	EXP 	ExWordR: autoDraw = False
20.7253 	EXP 	ExHint: autoDraw = True
22.2025 	DATA 	Keypress: f
22.2212 	EXP 	ExQuestion: autoDraw = False
22.2212 	EXP 	ExWordL: autoDraw = False
22.2212 	EXP 	ExWordR: autoDraw = False
22.2212 	EXP 	ExHint: autoDraw = False
22.2212 	EXP 	Instr3_text: autoDraw = True
23.6220 	EXP 	Imported conditions_memory_loop.xlsx as conditions, 80 conditions, 5 params
23.6232 	EXP 	Created sequence: random, trialTypes=80, nReps=1, seed=None
23.6237 	EXP 	New trial (rep=0, index=0): {'question': None, 'wordL': None, 'wordR': None, 'wordcolorL': None, 'wordcolorR': None}
23.6288 	DATA 	Keypress: space
23.6384 	EXP 	Instr3_text: autoDraw = False
23.6384 	EXP 	TestQuestion: text = ''
23.6384 	EXP 	TestWordL: text = ''
23.6384 	EXP 	TestWordR: text = ''
23.6384 	EXP 	TestQuestion: autoDraw = True
28.6202 	EXP 	TestWordL: autoDraw = True
28.6202 	EXP 	TestWordR: autoDraw = True
28.6536 	EXP 	TestQuestion: autoDraw = False
30.6199 	EXP 	TestWordL: autoDraw = False
30.6199 	EXP 	TestWordR: autoDraw = False
30.6199 	EXP 	TestHint: autoDraw = True
36.8247 	EXP 	New trial (rep=0, index=1): {'question': 'Какое из слов относится к географии?', 'wordL': 'страна', 'wordR': 'случай', 'wordcolorL': 'white', 'wordcolorR': 'white'}
36.8781 	DATA 	Keypress: f
36.8855 	EXP 	TestQuestion: autoDraw = False
36.8855 	EXP 	TestWordL: autoDraw = False
36.8855 	EXP 	TestWordR: autoDraw = False
36.8855 	EXP 	TestHint: autoDraw = False
36.8855 	EXP 	TestQuestion: text = 'Какое из слов относится к географии?'
36.8855 	EXP 	TestWordL: text = 'страна'
36.8855 	EXP 	TestWordR: text = 'случай'
36.8855 	EXP 	TestQuestion: autoDraw = True
41.8702 	EXP 	TestWordL: autoDraw = True
41.8702 	EXP 	TestWordR: autoDraw = True
41.8848 	EXP 	TestQuestion: autoDraw = False
43.8689 	EXP 	TestHint: autoDraw = True
43.8847 	EXP 	TestWordL: autoDraw = False
43.8847 	EXP 	TestWordR: autoDraw = False
44.9233 	EXP 	New trial (rep=0, index=2): {'question': None, 'wordL': None, 'wordR': None, 'wordcolorL': None, 'wordcolorR': None}
44.9544 	DATA 	Keypress: f
44.9689 	EXP 	TestQuestion: autoDraw = False
44.9689 	EXP 	TestWordL: autoDraw = False
44.9689 	EXP 	TestWordR: autoDraw = False
44.9689 	EXP 	TestHint: autoDraw = False
44.9689 	EXP 	TestQuestion: text = 'Какое из слов относится к географии?'
44.9689 	EXP 	TestWordL: text = 'страна'
44.9689 	EXP 	TestWordR: text = 'случай'
44.9689 	EXP 	TestQuestion: autoDraw = True
49.9505 	EXP 	TestWordL: autoDraw = True
49.9505 	EXP 	TestWordR: autoDraw = True
49.9838 	EXP 	TestQuestion: autoDraw = False
51.9502 	EXP 	TestWordL: autoDraw = False
51.9502 	EXP 	TestWordR: autoDraw = False
51.9502 	EXP 	TestHint: autoDraw = True
54.0410 	DATA 	Keypress: space
54.6548 	EXP 	New trial (rep=0, index=3): {'question': None, 'wordL': None, 'wordR': None, 'wordcolorL': None, 'wordcolorR': None}
54.6816 	DATA 	Keypress: f
54.7011 	EXP 	TestQuestion: autoDraw = False
54.7011 	EXP 	TestWordL: autoDraw = False
54.7011 	EXP 	TestWordR: autoDraw = False
54.7011 	EXP 	TestHint: autoDraw = False
54.7011 	EXP 	TestQuestion: text = 'Какое из слов относится к географии?'
54.7011 	EXP 	TestWordL: text = 'страна'
54.7011 	EXP 	TestWordR: text = 'случай'
54.7011 	EXP 	TestQuestion: autoDraw = True
59.6824 	EXP 	TestWordL: autoDraw = True
59.6824 	EXP 	TestWordR: autoDraw = True
59.7157 	EXP 	TestQuestion: autoDraw = False
61.6822 	EXP 	TestWordL: autoDraw = False
61.6822 	EXP 	TestWordR: autoDraw = False
61.6822 	EXP 	TestHint: autoDraw = True
62.5057 	EXP 	New trial (rep=0, index=4): {'question': None, 'wordL': None, 'wordR': None, 'wordcolorL': None, 'wordcolorR': None}
62.5355 	DATA 	Keypress: f
62.5485 	EXP 	TestQuestion: autoDraw = False
62.5485 	EXP 	TestWordL: autoDraw = False
62.5485 	EXP 	TestWordR: autoDraw = False
62.5485 	EXP 	TestHint: autoDraw = False
62.5485 	EXP 	TestQuestion: text = 'Какое из слов относится к географии?'
62.5485 	EXP 	TestWordL: text = 'страна'
62.5485 	EXP 	TestWordR: text = 'случай'
62.5485 	EXP 	TestQuestion: autoDraw = True
67.5324 	EXP 	TestWordL: autoDraw = True
67.5324 	EXP 	TestWordR: autoDraw = True
67.5481 	EXP 	TestQuestion: autoDraw = False
69.5322 	EXP 	TestHint: autoDraw = True
69.5479 	EXP 	TestWordL: autoDraw = False
69.5479 	EXP 	TestWordR: autoDraw = False
69.9395 	DATA 	Keypress: f
69.9536 	EXP 	New trial (rep=0, index=5): {'question': None, 'wordL': None, 'wordR': None, 'wordcolorL': None, 'wordcolorR': None}
69.9988 	EXP 	TestQuestion: autoDraw = False
69.9988 	EXP 	TestWordL: autoDraw = False
69.9988 	EXP 	TestWordR: autoDraw = False
69.9988 	EXP 	TestHint: autoDraw = False
69.9988 	EXP 	TestQuestion: text = 'Какое из слов относится к географии?'
69.9988 	EXP 	TestWordL: text = 'страна'
69.9988 	EXP 	TestWordR: text = 'случай'
69.9988 	EXP 	TestQuestion: autoDraw = True
73.3199 	DATA 	Keypress: escape
73.5989 	EXP 	window1: mouseVisible = True
